Name,Value,DateTime
Temperature,15.2,03/19/2025 22:00:00
Visibility,85.3,03/19/2025 22:00:00
Humidity,68.4,03/19/2025 22:00:00
AtmosphericPressure,1013.2,03/19/2025 22:00:00
Temperature,14.8,03/19/2025 23:00:00
Visibility,82.6,03/19/2025 23:00:00
Humidity,70.1,03/19/2025 23:00:00
AtmosphericPressure,1013.4,03/19/2025 23:00:00
Temperature,14.3,03/20/2025 00:00:00
Visibility,79.5,03/20/2025 00:00:00
Humidity,72.8,03/20/2025 00:00:00
AtmosphericPressure,1013.7,03/20/2025 00:00:00
Temperature,13.9,03/20/2025 01:00:00
Visibility,77.2,03/20/2025 01:00:00
Humidity,75.3,03/20/2025 01:00:00
AtmosphericPressure,1014.0,03/20/2025 01:00:00
Temperature,13.5,03/20/2025 02:00:00
Visibility,75.6,03/20/2025 02:00:00
Humidity,76.9,03/20/2025 02:00:00
AtmosphericPressure,1014.2,03/20/2025 02:00:00
Temperature,13.1,03/20/2025 03:00:00
Visibility,74.8,03/20/2025 03:00:00
Humidity,78.4,03/20/2025 03:00:00
AtmosphericPressure,1014.5,03/20/2025 03:00:00
Temperature,12.7,03/20/2025 04:00:00
Visibility,72.9,03/20/2025 04:00:00
Humidity,79.8,03/20/2025 04:00:00
AtmosphericPressure,1014.7,03/20/2025 04:00:00
Temperature,12.4,03/20/2025 05:00:00
Visibility,71.5,03/20/2025 05:00:00
Humidity,81.3,03/20/2025 05:00:00
AtmosphericPressure,1014.9,03/20/2025 05:00:00
Temperature,12.9,03/20/2025 06:00:00
Visibility,73.2,03/20/2025 06:00:00
Humidity,80.5,03/20/2025 06:00:00
AtmosphericPressure,1015.0,03/20/2025 06:00:00
Temperature,13.8,03/20/2025 07:00:00
Visibility,76.4,03/20/2025 07:00:00
Humidity,77.2,03/20/2025 07:00:00
AtmosphericPressure,1015.1,03/20/2025 07:00:00
Temperature,14.9,03/20/2025 08:00:00
Visibility,79.8,03/20/2025 08:00:00
Humidity,73.6,03/20/2025 08:00:00
AtmosphericPressure,1015.2,03/20/2025 08:00:00
Temperature,16.2,03/20/2025 09:00:00
Visibility,83.5,03/20/2025 09:00:00
Humidity,68.4,03/20/2025 09:00:00
AtmosphericPressure,1015.1,03/20/2025 09:00:00
Temperature,17.5,03/20/2025 10:00:00
Visibility,86.9,03/20/2025 10:00:00
Humidity,63.2,03/20/2025 10:00:00
AtmosphericPressure,1014.9,03/20/2025 10:00:00
Temperature,18.6,03/20/2025 11:00:00
Visibility,89.7,03/20/2025 11:00:00
Humidity,59.8,03/20/2025 11:00:00
AtmosphericPressure,1014.6,03/20/2025 11:00:00
Temperature,19.4,03/20/2025 12:00:00
Visibility,92.3,03/20/2025 12:00:00
Humidity,56.5,03/20/2025 12:00:00
AtmosphericPressure,1014.3,03/20/2025 12:00:00
Temperature,20.1,03/20/2025 13:00:00
Visibility,94.2,03/20/2025 13:00:00
Humidity,54.1,03/20/2025 13:00:00
AtmosphericPressure,1014.0,03/20/2025 13:00:00
Temperature,20.5,03/20/2025 14:00:00
Visibility,95.6,03/20/2025 14:00:00
Humidity,52.8,03/20/2025 14:00:00
AtmosphericPressure,1013.7,03/20/2025 14:00:00
Temperature,20.7,03/20/2025 15:00:00
Visibility,96.1,03/20/2025 15:00:00
Humidity,52.3,03/20/2025 15:00:00
AtmosphericPressure,1013.4,03/20/2025 15:00:00
Temperature,20.4,03/20/2025 16:00:00
Visibility,95.8,03/20/2025 16:00:00
Humidity,53.6,03/20/2025 16:00:00
AtmosphericPressure,1013.2,03/20/2025 16:00:00
Temperature,19.8,03/20/2025 17:00:00
Visibility,93.5,03/20/2025 17:00:00
Humidity,56.2,03/20/2025 17:00:00
AtmosphericPressure,1013.3,03/20/2025 17:00:00
Temperature,18.9,03/20/2025 18:00:00
Visibility,90.6,03/20/2025 18:00:00
Humidity,59.4,03/20/2025 18:00:00
AtmosphericPressure,1013.5,03/20/2025 18:00:00
Temperature,17.8,03/20/2025 19:00:00
Visibility,87.3,03/20/2025 19:00:00
Humidity,62.7,03/20/2025 19:00:00
AtmosphericPressure,1013.8,03/20/2025 19:00:00
Temperature,16.9,03/20/2025 20:00:00
Visibility,84.5,03/20/2025 20:00:00
Humidity,65.9,03/20/2025 20:00:00
AtmosphericPressure,1014.1,03/20/2025 20:00:00
Temperature,16.1,03/20/2025 21:00:00
Visibility,82.1,03/20/2025 21:00:00
Humidity,68.3,03/20/2025 21:00:00
AtmosphericPressure,1014.4,03/20/2025 21:00:00
