Temperature,Humidity,Pressure,Visibility
15,65,1012,10
16,63,1011,12
17,60,1010,14
18,58,1009,15
19,57,1008,16
20,55,1007,18
21,53,1006,19
22,50,1005,20
23,48,1004,18
24,45,1003,16
25,43,1002,15
24,44,1001,14
23,46,1002,13
22,50,1003,12
21,52,1004,11
20,55,1005,10
19,58,1006,9
18,60,1007,8
17,62,1008,7
16,65,1009,6
15,68,1010,5
14,70,1011,4
13,72,1012,3
12,75,1013,2
11,77,1014,1
10,80,1015,2
9,82,1016,3
8,84,1017,4
7,85,1018,5
6,87,1019,6
5,89,1020,7
4,90,1021,8
3,88,1022,9
2,85,1023,10
1,83,1024,11
0,80,1025,12
-1,78,1026,13
-2,76,1027,14
-3,74,1028,15
-4,72,1029,16
-5,70,1030,17
-6,68,1031,18
-7,66,1032,19
-8,64,1033,20
-9,62,1034,18
-10,60,1035,17
